ID,Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
175,Kabhi Khushi Kabhie Gham,7.4,1,0,0,0,Drama,210
176,Charlie and the Chocolate Factory,6.6,1,0,0,0,Adventure,115
177,Freaks,6.7,1,0,0,0,Drama,105
178,Hannah Gadsby: Nanette,8.2,1,0,0,0,Documentary,69
179,The Mask of Zorro,6.7,1,0,0,0,Action,136
180,The Natural,7.5,1,0,0,0,Drama,138
181,Equilibrium,7.4,1,0,0,0,Action,107
182,Arthur Christmas,7.1,1,0,0,0,Animation,97
183,The Rainmaker,7.2,1,0,1,0,Crime,135
184,Winter on Fire: Ukraine's Fight for Freedom,8.4,1,0,0,0,Documentary,102
185,Always Be My Maybe,6.8,1,0,0,0,Comedy,101
186,The Crying Game,7.2,1,0,0,0,Crime,112
187,War Horse,7.2,1,0,0,0,Action,146
188,Shot Caller,7.3,1,0,0,0,Crime,121
189,The Invitation,6.6,1,0,1,0,Drama,100
190,A Most Violent Year,7,1,0,0,0,Action,125
191,The Other Guys,6.6,1,0,0,0,Action,107
192,Kapoor & Sons,7.7,1,0,0,0,Comedy,132
193,On Body and Soul,7.6,1,0,0,0,Drama,116
194,The Fundamentals of Caring,7.3,1,0,1,0,Comedy,97
195,Insidious,6.8,1,0,0,0,Horror,103
196,Bill Burr: Paper Tiger,8.2,1,0,0,0,Comedy,67
197,Bad Boys,6.9,1,0,0,0,Action,119
198,The Foreigner,7,1,0,0,0,Action,113
199,The Danish Girl,7.1,1,0,0,0,Biography,119
200,The Girl with All the Gifts,6.6,1,0,0,0,Drama,111
201,Bird Box,6.6,1,0,0,0,Drama,124
202,The Ring,7.1,1,0,1,0,Horror,115
203,Hostiles,7.2,1,0,0,0,Drama,134
204,Sairat,8.3,1,0,0,0,Drama,174
205,Trumbo,7.5,1,0,1,0,Biography,124
206,LA 92,8.2,1,0,0,0,Documentary,114
207,20th Century Women,7.3,1,0,0,0,Comedy,119
208,Kal Ho Naa Ho,8,1,0,0,0,Comedy,186
209,Swiss Army Man,7,1,0,0,0,Comedy,97
210,In This Corner of the World,7.8,1,0,0,0,Animation,129
211,A Ghost Story,6.9,1,0,0,0,Drama,92
212,United 93,7.5,1,0,0,0,Drama,111
213,Patriot Games,6.9,1,0,1,0,Action,117
214,The Secret Life of Pets 2,6.5,1,0,0,0,Animation,86
215,Hitch,6.6,1,1,0,0,Comedy,118
216,The Young Offenders,7.1,1,0,0,0,Comedy,30
217,Enemy,6.9,1,0,0,0,Drama,91
218,Mirage,7.4,1,0,1,0,Drama,128
219,Everybody's Everything,7.4,1,0,0,0,Documentary,116
220,Indiana Jones and the Kingdom of the Crystal Skull,6.1,1,0,0,0,Action,122
221,The Guernsey Literary & Potato Peel Pie Society,7.4,1,0,0,0,Drama,124
222,I Don't Feel at Home in This World Anymore,6.9,1,0,0,0,Comedy,93
